product_name,category,total_sales,total_profit
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Office Supplies,452.965,105.485
Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,38.642,-4.8928
Acco Translucent Poly Ring Binders,Office Supplies,91.728,16.2864
Accohide Poly Flexible Ring Binders,Office Supplies,43.758,-19.822
"Acme 10"" Easy Grip Assistive Scissors",Office Supplies,448.768,129.722
Acme Box Cutter Scissors,Office Supplies,306.9,72.2238
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Office Supplies,45.144,10.1916
Acme Design Stainless Steel Bent Scissors,Office Supplies,88.92,24.0084
Acme Elite Stainless Steel Scissors,Office Supplies,95.076,21.0168
Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,279.3,67.7768
Acme Galleria Hot Forged Steel Scissors with Colored Handles,Office Supplies,195.052,49.8641
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Office Supplies,458.7,103.416
Acme Kleen Earth Office Shears,Office Supplies,44.232,11.1744
Acme Kleencut Forged Steel Scissors,Office Supplies,35.588,7.462
Acme Office Executive Series Stainless Steel Trimmers,Office Supplies,159.402,26.2242
Acme Preferred Stainless Steel Scissors,Office Supplies,90.88,26.3552
Acme Rosewood Handle Letter Opener,Office Supplies,43.67,-3.4936
Acme Serrated Blade Letter Opener,Office Supplies,13.992,-1.749
Acme Softgrip Scissors,Office Supplies,166.056,33.1298
Acme Stainless Steel Office Snips,Office Supplies,81.424,12.4317
Acme Tagit Stainless Steel Antibacterial Scissors,Office Supplies,196.02,37.026
Acme Titanium Bonded Scissors,Office Supplies,102.0,20.23
Acme Value Line Scissors,Office Supplies,76.65,20.44
Acrylic Self-Standing Desk Frames,Furniture,93.984,32.7342
"Adams ""While You Were Out"" Message Pads",Office Supplies,72.848,31.4
"Adams Phone Message Book, 200 Message Capacity, 8 1/16� x 11�",Office Supplies,227.04,104.4384
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6� x 11�",Office Supplies,94.928,43.1364
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Office Supplies,172.672,72.704
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Office Supplies,132.888,60.9168
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,223.44,111.72
"Adams Telephone Message Books, 5 1/4� x 11�",Office Supplies,80.936,32.918
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,40.896,16.3584
Adjustable Depth Letter/Legal Cart,Office Supplies,7730.196,1932.549
Adjustable Personal File Tote,Office Supplies,270.248,53.3984
Adtran 1202752G1,Technology,1990.642,312.4552
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,1051.776,277.2864
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Furniture,822.738,311.7744
Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,87.69,20.54
Advantus Motivational Note Cards,Office Supplies,227.94,94.32
Advantus Panel Wall Acrylic Frame,Furniture,87.52,25.162
Advantus Panel Wall Certificate Holder - 8.5x11,Furniture,270.84,108.092
Advantus Plastic Paper Clips,Office Supplies,225.0,102.8
Advantus Push Pins,Office Supplies,54.936,20.2086
"Advantus Push Pins, Aluminum Head",Office Supplies,139.44,43.2264
Advantus Rolling Drawer Organizers,Office Supplies,1115.92,233.1888
Advantus Rolling Storage Box,Office Supplies,428.75,90.7235
Advantus SlideClip Paper Clips,Office Supplies,46.376,19.778
Advantus T-Pin Paper Clips,Office Supplies,64.042,20.0244
Airmail Envelopes,Office Supplies,1359.666,514.4909
Akro Stacking Bins,Office Supplies,91.524,-6.9432
Akro-Mils 12-Gallon Tote,Office Supplies,113.202,21.5481
"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,29.7,0.0
Alliance Rubber Bands,Office Supplies,13.44,0.5376
"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,197.612,-10.3474
Alphabetical Labels for Top Tab Filing,Office Supplies,518.0,244.2
Aluminum Document Frame,Furniture,244.4,56.212
Aluminum Screw Posts,Office Supplies,354.032,41.202
AmazonBasics 3-Button USB Wired Mouse,Technology,88.074,32.2938
American Pencil,Office Supplies,48.93,14.1897
Ames Color-File Green Diamond Border X-ray Mailers,Office Supplies,1360.476,559.3068
Ampad #10 Peel & Seel Holiday Envelopes,Office Supplies,53.76,25.8048
"Ampad Evidence Wirebond Steno Books, 6"" x 9""",Office Supplies,27.468,11.2924
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,106.722,47.187
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 �� x 11�",Office Supplies,124.8,56.16
"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",Office Supplies,38.136,15.663
Anderson Hickey Conga Table Tops & Accessories,Furniture,51.782,-17.5145
"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,197.83,35.332
Angle-D Ring Binders,Office Supplies,39.384,-1.9692
Anker 24W Portable Micro USB Car Charger,Technology,61.544,14.0672
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,339.83,23.1884
Anker Astro 15000mAh USB Portable Charger,Technology,599.88,-23.9952
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,Technology,147.926,-31.984
Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Technology,499.75,99.5502
Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,Technology,491.836,32.989
Apple EarPods with Remote and Mic,Technology,251.91,50.382
Apple iPhone 5,Technology,12996.6,1611.5784
Apple iPhone 5C,Technology,1339.866,229.977
Apple iPhone 5S,Technology,4901.914,512.991
Array Memo Cubes,Office Supplies,54.908,25.8482
"Array Parchment Paper, Assorted Colors",Office Supplies,106.288,49.504
Artistic Insta-Plaque,Furniture,156.8,61.152
Assorted Color Push Pins,Office Supplies,34.39,8.9233
Astroparche Fine Business Paper,Office Supplies,144.672,65.0496
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",Technology,1979.88,593.964
Ativa MDM8000 8-Sheet Micro-Cut Shredder,Technology,917.898,393.2563
Ativa V4110MDD Micro-Cut Shredder,Technology,7699.89,3772.9461
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,400.0268,-113.2606
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,7539.7122,780.3302
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,5184.081,-126.441
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,5492.885,15.049
Avanti 1.7 Cu. Ft. Refrigerator,Office Supplies,2221.56,476.6256
Avanti 4.4 Cu. Ft. Refrigerator,Office Supplies,3511.012,383.6776
Avaya 4621SW VoIP phone,Technology,709.92,79.866
Avaya 5410 Digital phone,Technology,625.508,-10.8784
Avaya 5420 Digital phone,Technology,1538.886,323.976
Avaya IP Phone 1140E VoIP phone,Technology,1394.95,362.687
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Office Supplies,20.65,9.499
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,137.808,-14.4072
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Office Supplies,1233.412,524.5054
Avery 473,Office Supplies,248.4,119.232
Avery 474,Office Supplies,78.336,34.272
Avery 475,Office Supplies,266.4,133.2
Avery 476,Office Supplies,137.116,54.5986
Avery 477,Office Supplies,573.964,244.24
Avery 478,Office Supplies,88.38,43.3062
Avery 479,Office Supplies,16.704,6.8382
Avery 48,Office Supplies,90.72,39.69
Avery 480,Office Supplies,89.25,42.45
Avery 481,Office Supplies,91.168,43.12
Avery 482,Office Supplies,11.56,5.4332
Avery 483,Office Supplies,83.664,32.5692
Avery 484,Office Supplies,9.216,3.3408
Avery 485,Office Supplies,639.03,300.3441
Avery 486,Office Supplies,168.13,75.1468
Avery 487,Office Supplies,84.87,35.9775
Avery 488,Office Supplies,51.03,23.184
Avery 489,Office Supplies,159.39,73.278
Avery 49,Office Supplies,66.816,31.5648
Avery 490,Office Supplies,177.6,81.4
Avery 491,Office Supplies,45.43,18.6676
Avery 492,Office Supplies,53.568,22.464
Avery 493,Office Supplies,55.974,23.4207
Avery 494,Office Supplies,56.376,23.9598
Avery 495,Office Supplies,97.02,42.588
Avery 496,Office Supplies,50.25,22.95
Avery 497,Office Supplies,24.024,11.2112
Avery 498,Office Supplies,35.258,15.3459
Avery 499,Office Supplies,176.292,68.724
Avery 5,Office Supplies,5.76,2.8224
Avery 50,Office Supplies,235.564,102.746
Avery 500,Office Supplies,58.48,27.4856
Avery 501,Office Supplies,66.42,23.3946
Avery 502,Office Supplies,17.64,6.174
Avery 503,Office Supplies,155.25,74.52
Avery 505,Office Supplies,372.96,165.76
Avery 506,Office Supplies,66.08,28.1666
Avery 507,Office Supplies,24.192,8.64
Avery 508,Office Supplies,87.398,39.8201
Avery 509,Office Supplies,32.364,14.0418
Avery 51,Office Supplies,95.76,41.328
Avery 510,Office Supplies,21.75,8.1
Avery 511,Office Supplies,56.672,24.64
Avery 512,Office Supplies,84.388,35.3736
Avery 513,Office Supplies,93.624,34.4616
Avery 514,Office Supplies,47.808,22.8384
Avery 515,Office Supplies,62.65,29.4455
Avery 516,Office Supplies,109.65,51.5355
Avery 517,Office Supplies,44.28,18.8559
Avery 518,Office Supplies,106.47,49.14
Avery 519,Office Supplies,121.346,51.6086
Avery 52,Office Supplies,68.634,31.4757
Avery 520,Office Supplies,46.62,22.05
"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Office Supplies,277.38,126.684
Avery Arch Ring Binders,Office Supplies,1318.87,87.15
Avery Binder Labels,Office Supplies,26.063,9.8806
Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,91.743,16.733
Avery Durable Binders,Office Supplies,87.264,13.824
"Avery Durable Plastic 1"" Binders",Office Supplies,116.224,37.5004
Avery Durable Poly Binders,Office Supplies,82.95,-15.5946
Avery Durable Slant Ring Binders,Office Supplies,51.48,-23.76
Avery Durable Slant Ring Binders With Label Holder,Office Supplies,90.706,12.4564
"Avery Durable Slant Ring Binders, No Labels",Office Supplies,89.55,13.6116
Avery File Folder Labels,Office Supplies,113.472,48.8448
"Avery Flip-Chart Easel Binder, Black",Office Supplies,239.466,37.8222
Avery Fluorescent Highlighter Four-Color Set,Office Supplies,65.464,9.352
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Office Supplies,99.8,-0.698599999999998
Avery Hanging File Binders,Office Supplies,105.846,21.8868
Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,110.484,29.2392
Avery Heavy-Duty EZD View Binder with Locking Rings,Office Supplies,170.984,29.7308
"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,7.8,3.042
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,219.78,68.376
Avery Hi-Liter Fluorescent Desk Style Markers,Office Supplies,20.28,7.5036
"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Office Supplies,26.08,9.6496
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,7.7,3.157
Avery Hi-Liter Smear-Safe Highlighters,Office Supplies,123.808,34.1056
Avery Hidden Tab Dividers for Binding Systems,Office Supplies,31.588,-7.0328
Avery Hole Reinforcements,Office Supplies,116.501,14.8274
Avery Legal 4-Ring Binder,Office Supplies,258.054,90.214
Avery Metallic Poly Binders,Office Supplies,135.801,43.4334
Avery Non-Stick Binders,Office Supplies,217.316,43.553
Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Office Supplies,68.172,30.8568
Avery Personal Creations Heavyweight Cards,Office Supplies,103.86,37.8512
Avery Poly Binder Pockets,Office Supplies,78.044,14.7496
Avery Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,191.352,29.4168
Avery Printable Repositionable Plastic Tabs,Office Supplies,115.24,42.312
Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,197.169,-69.5702
Avery Reinforcements for Hole-Punch Pages,Office Supplies,28.512,-16.137
Avery Round Ring Poly Binders,Office Supplies,36.92,12.2972
Avery Self-Adhesive Photo Pockets for Polaroid Photos,Office Supplies,143.01,-2.1792
"Avery Trapezoid Extra Heavy Duty 4"" Binders",Office Supplies,314.55,-3.5527136788005e-15
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,545.034,85.2384
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Office Supplies,25.83,-4.92
Avery White Multi-Purpose Labels,Office Supplies,95.616,41.832
Avoid Verbal Orders Carbonless Minifold Book,Office Supplies,68.276,29.9468
BIC Brite Liner Grip Highlighters,Office Supplies,24.272,8.938
"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",Office Supplies,118.72,43.7144
BIC Brite Liner Highlighters,Office Supplies,86.112,30.8844
"BIC Brite Liner Highlighters, Chisel Tip",Office Supplies,123.12,30.5856
BIC Liqua Brite Liner,Office Supplies,173.5,53.5768
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,496.248,113.274
"BOSTON Ranger #55 Pencil Sharpener, Black",Office Supplies,618.562,120.3337
BPI Conference Tables,Furniture,2241.8675,-795.9725
Bady BDG101FRU Card Printer,Technology,9279.884,1327.9834
Bagged Rubber Bands,Office Supplies,25.704,0.3024
Balt Solid Wood Rectangular Table,Furniture,828.0965,-216.2545
Balt Solid Wood Round Tables,Furniture,6518.754,-1201.0581
Balt Split Level Computer Training Table,Furniture,1040.625,-357.975
Barrel Sharpener,Office Supplies,67.83,17.6358
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Furniture,1088.64,-104.832
"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Furniture,136.464,15.3522
"Belkin 19"" Center-Weighted Shelf, Gray",Office Supplies,849.312,-47.184
"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,1400.256,-179.6652
"Belkin 325VA UPS Surge Protector, 6'",Office Supplies,1379.172,199.617
Belkin 5 Outlet SurgeMaster Power Centers,Office Supplies,1776.048,207.024
Belkin 6 Outlet Metallic Surge Strip,Office Supplies,262.449,28.7496
Belkin 7 Outlet SurgeMaster II,Office Supplies,631.68,176.8704
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,157.92,17.766
Belkin 7-Outlet SurgeMaster Home Series,Office Supplies,106.172,2.794
Belkin 8 Outlet Surge Protector,Office Supplies,1073.676,188.508
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Office Supplies,737.754,89.97
Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Office Supplies,647.84,168.4384
Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,Office Supplies,277.92,83.376
Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,464.196,110.304
Belkin F8E887 USB Wired Ergonomic Keyboard,Technology,563.812,66.2779
Belkin F9G930V10-GRY 9 Outlet Surge,Office Supplies,770.112,162.5792
Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,Office Supplies,516.216,122.8368
Belkin F9M820V08 8 Outlet Surge,Office Supplies,558.74,101.003
Belkin F9S820V06 8 Outlet Surge,Office Supplies,266.336,-120.176
Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,Technology,64.972,12.9944
Belkin OmniView SE Rackmount Kit,Office Supplies,248.36,0.0
Belkin Premiere Surge Master II 8-outlet surge protector,Office Supplies,952.168,55.3812
Belkin QODE FastFit Bluetooth Keyboard,Technology,495.6,16.107
"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",Technology,239.84,79.2971
Belkin Standard 104 key USB Keyboard,Technology,265.538,5.1065
Belkin iPhone and iPad Lightning Cable,Technology,83.944,6.2958
Berol Giant Pencil Sharpener,Office Supplies,254.85,49.7807
Bestar Classic Bookcase,Furniture,1897.8102,-612.9387
Bevis 36 x 72 Conference Tables,Furniture,4332.252,448.164
Bevis 44 x 96 Conference Tables,Furniture,3253.22,-164.72
Bevis Boat-Shaped Conference Table,Furniture,2542.467,-445.587
"Bevis Oval Conference Table, Walnut",Furniture,6942.068,-856.0144
Bevis Rectangular Conference Tables,Furniture,1007.262,-586.8396
"Bevis Round Bullnose 29"" High Table Top",Furniture,4544.925,-192.1854
Bevis Round Conference Room Tables and Bases,Furniture,519.941,-39.4438
Bevis Round Conference Table Top & Single Column Base,Furniture,2297.538,100.9746
"Bevis Round Conference Table Top, X-Base",Furniture,2671.421,-519.941
Bevis Steel Folding Chairs,Furniture,1775.075,117.059
"Bevis Traditional Conference Table Top, Plinth Base",Furniture,2033.496,-456.7032
Binder Clips by OIC,Office Supplies,36.112,15.3328
Binder Posts,Office Supplies,57.4,7.8064
Binding Machine Supplies,Office Supplies,667.993,182.6042
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,88.896,26.854
"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",Office Supplies,16.176,6.74
"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,45.15,13.459
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,17.64,5.7456
"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",Office Supplies,25.992,10.6704
Bionaire 99.97% HEPA Air Cleaner,Office Supplies,199.728,17.52
Bionaire Personal Warm Mist Humidifier/Vaporizer,Office Supplies,515.79,201.1581
Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,Office Supplies,229.886,53.696
"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",Office Supplies,45.508,15.5608
"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Office Supplies,64.064,20.8208
"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",Office Supplies,160.336,65.1365
BlackBerry Q10,Technology,3099.354,548.0565
Blackstonian Pencils,Office Supplies,49.128,12.6024
Blue Parrot B250XT Professional Grade Wireless Bluetooth�Headset�with,Technology,1229.836,127.483
"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Office Supplies,783.608,299.85
"BlueLounge Milo Smartphone Stand, White/Metallic",Technology,335.888,76.7744
Bose SoundLink Bluetooth Speaker,Technology,2865.6,967.14
Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Office Supplies,1073.112,206.2662
Boston 16701 Slimline Battery Pencil Sharpener,Office Supplies,86.076,19.128
Boston 16750 Black Compact Battery Pencil Sharpener,Office Supplies,43.75,13.125
Boston 16765 Mini Stand Up Battery Pencil Sharpener,Office Supplies,102.608,16.324
Boston 16801 Nautilus Battery Pencil Sharpener,Office Supplies,444.602,69.9918
Boston 1730 StandUp Electric Pencil Sharpener,Office Supplies,171.04,44.4704
Boston 1799 Powerhouse Electric Pencil Sharpener,Office Supplies,389.7,109.116
"Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606",Office Supplies,59.49,17.847
Boston 1900 Electric Pencil Sharpener,Office Supplies,14.98,4.494
Boston 19500 Mighty Mite Electric Pencil Sharpener,Office Supplies,342.55,92.4885
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies,523.59,118.23
Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,1166.44,310.89
Boston Home & Office Model 2000 Electric Pencil Sharpeners,Office Supplies,297.99,70.477
Boston KS Multi-Size Manual Pencil Sharpener,Office Supplies,533.368,119.548
"Boston Model 1800 Electric Pencil Sharpener, Gray",Office Supplies,405.36,109.785
"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies,873.636,149.9432
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,1706.25,-1148.4375
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,87.75,20.8325
Bretford CR4500 Series Slim Rectangular Table,Furniture,7242.768,-532.7613
Bretford CR8500 Series Meeting Room Furniture,Furniture,6776.562,461.127
Bretford Rectangular Conference Table Tops,Furniture,12995.2915,-327.2331
Bretford �Just In Time� Height-Adjustable Multi-Task Work Tables,Furniture,5634.9,-964.194
"Brites Rubber Bands, 1 1/2 oz. Box",Office Supplies,13.068,-0.5148
Brother DCP1000 Digital 3 in 1 Multifunction Machine,Technology,4859.838,1154.9615
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",Technology,341.991,-319.1916
Brown Kraft Recycled Envelopes,Office Supplies,244.512,117.162
Bulldog Table or Wall-Mount Pencil Sharpener,Office Supplies,77.87,22.5823
Bulldog Vacuum Base Pencil Sharpener,Office Supplies,330.924,59.5903
Bush Advantage Collection Racetrack Conference Table,Furniture,9544.725,-1934.3976
Bush Advantage Collection Round Conference Table,Furniture,3401.6,210.474
"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,3317.7235,135.5887
"Bush Andora Conference Table, Maple/Graphite Gray Finish",Furniture,1436.232,-143.6232
"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,825.174,-117.882
